Node_No,X,Y,Z,Total Deformation
33650,-0.0027,-0.0012,-0.0614,0.0615
33651,-0.0023,-0.0019,-0.0617,0.0618
33652,-0.0024,0.0026,-0.0669,0.0670
33653,-0.0029,0.0020,-0.0668,0.0669
33654,-0.0026,0.0023,-0.0666,0.0667
33655,-0.0025,0.0020,-0.0671,0.0672
33656,0.0009,0.0034,-0.0616,0.0617
33657,0.0000,0.0035,-0.0616,0.0616
33658,0.0004,0.0035,-0.0618,0.0619
33659,0.0009,0.0028,-0.0614,0.0615
33660,0.0001,0.0029,-0.0608,0.0609
33661,0.0001,0.0030,-0.0618,0.0619
33662,0.0035,0.0004,-0.0664,0.0665
33663,0.0035,-0.0002,-0.0662,0.0663
33664,0.0030,0.0000,-0.0668,0.0669
33665,-0.0019,-0.0030,-0.0662,0.0663
33666,-0.0010,-0.0034,-0.0659,0.0660
33667,-0.0015,-0.0032,-0.0656,0.0657
33668,-0.0005,-0.0028,-0.0660,0.0660
33669,-0.0008,-0.0028,-0.0670,0.0670
33670,-0.0014,-0.0025,-0.0661,0.0662
33671,-0.0002,-0.0035,-0.0659,0.0660
33672,0.0006,-0.0035,-0.0660,0.0661
33673,0.0003,-0.0035,-0.0657,0.0657
33674,0.0002,-0.0030,-0.0660,0.0660
33675,-0.0001,-0.0029,-0.0670,0.0670
33676,0.0007,-0.0028,-0.0666,0.0667
33677,0.0029,0.0020,-0.0620,0.0621
33678,0.0023,0.0026,-0.0621,0.0622
33679,0.0026,0.0023,-0.0623,0.0624
33680,0.0021,0.0022,-0.0617,0.0617
33681,0.0026,0.0016,-0.0619,0.0620
33682,0.0010,-0.0034,-0.0621,0.0622
33683,0.0021,-0.0028,-0.0623,0.0623
33684,0.0019,-0.0029,-0.0626,0.0627
33685,0.0013,-0.0032,-0.0625,0.0626
33686,0.0009,-0.0028,-0.0625,0.0625
33687,0.0013,-0.0027,-0.0618,0.0618
33688,0.0017,-0.0024,-0.0626,0.0627
33689,0.0019,-0.0025,-0.0620,0.0621
33690,0.0020,-0.0029,-0.0661,0.0661
33691,0.0013,-0.0032,-0.0660,0.0661
33692,0.0017,-0.0031,-0.0656,0.0657
33693,0.0009,-0.0027,-0.0660,0.0661
33694,0.0018,-0.0023,-0.0661,0.0662
33695,0.0014,-0.0026,-0.0667,0.0667
33696,0.0034,-0.0010,-0.0659,0.0660
33697,0.0031,-0.0017,-0.0657,0.0658
33698,0.0033,-0.0012,-0.0655,0.0656
